iter	Passed	Remaining
424	1980	2679
425	1984	2674
426	1991	2672
427	1995	2666
428	2003	2666
429	2008	2662
430	2012	2656
431	2016	2651
432	2020	2645
433	2023	2639
434	2027	2633
435	2034	2631
436	2038	2625
437	2041	2619
438	2045	2613
439	2049	2607
440	2052	2602
441	2059	2600
442	2066	2597
443	2072	2594
444	2075	2588
445	2079	2583
446	2083	2577
447	2086	2571
448	2091	2566
449	2097	2563
450	2102	2559
451	2107	2555
452	2112	2551
453	2117	2546
454	2122	2542
455	2127	2538
456	2131	2532
457	2135	2527
458	2139	2521
459	2144	2517
460	2151	2515
461	2158	2513
462	2166	2512
463	2172	2509
464	2179	2507
465	2185	2504
466	2191	2500
467	2198	2499
468	2215	2508
469	2220	2503
470	2224	2497
471	2227	2492
472	2231	2486
473	2235	2480
474	2239	2475
475	2243	2469
476	2246	2463
477	2250	2458
478	2255	2453
479	2262	2450
480	2265	2444
481	2269	2439
482	2273	2434
483	2277	2428
484	2283	2425
485	2290	2422
486	2298	2420
487	2302	2416
488	2308	2412
489	2311	2406
490	2315	2400
491	2319	2394
492	2323	2389
493	2326	2383
494	2330	2377
495	2334	2372
496	2338	2366
497	2342	2361
498	2349	2359
499	2355	2355
500	2359	2350
501	2363	2344
502	2368	2340
503	2373	2336
504	2380	2333
505	2385	2329
506	2389	2323
507	2393	2318
508	2398	2313
509	2403	2309
510	2408	2304
511	2411	2298
512	2415	2292
513	2419	2287
514	2425	2284
515	2431	2280
516	2436	2276
517	2441	2272
518	2447	2268
519	2452	2264
520	2456	2258
521	2460	2253
522	2464	2247
523	2467	2241
524	2472	2236
525	2479	2234
526	2485	2230
527	2491	2226
528	2496	2222
529	2499	2216
530	2504	2212
531	2511	2209
532	2516	2204
533	2520	2199
534	2524	2193
535	2528	2188
536	2532	2183
537	2535	2177
538	2539	2172
539	2544	2167
540	2549	2162
541	2553	2157
542	2557	2152
543	2563	2148
544	2569	2144
545	2574	2140
546	2578	2135
547	2582	2129
548	2585	2124
549	2589	2118
550	2593	2113
551	2598	2109
552	2603	2104
553	2607	2099
554	2610	2093
555	2614	2087
556	2618	2082
557	2623	2077
558	2627	2072
559	2630	2066
560	2634	2061
561	2638	2056
562	2642	2051
563	2649	2047
564	2656	2044
565	2661	2041
566	2666	2036
567	2670	2030
568	2674	2025
569	2678	2020
570	2685	2017
571	2690	2013
572	2694	2007
573	2698	2002
574	2702	1997
575	2705	1991
576	2709	1986
577	2712	1980
578	2716	1975
579	2720	1970
580	2725	1965
581	2728	1959
582	2732	1954
583	2735	1948
584	2740	1943
585	2744	1939
586	2748	1933
587	2752	1928
588	2757	1923
589	2761	1919
590	2767	1915
591	2774	1912
592	2780	1908
593	2787	1905
594	2791	1900
595	2795	1895
596	2799	1890
597	2804	1884
598	2808	1880
599	2812	1874
600	2816	1869
601	2820	1864
602	2824	1859
603	2828	1854
604	2834	1850
605	2837	1845
606	2841	1839
607	2845	1834
608	2849	1829
609	2853	1824
610	2857	1819
611	2860	1813
612	2864	1808
613	2868	1803
614	2873	1798
615	2876	1793
616	2880	1787
617	2884	1782
618	2888	1777
619	2892	1772
620	2896	1767
621	2903	1764
622	2912	1762
623	2918	1758
624	2921	1753
625	2925	1747
626	2929	1742
627	2933	1737
628	2936	1732
629	2940	1727
630	2944	1721
631	2949	1717
632	2954	1712
633	2958	1707
634	2962	1702
635	2966	1697
636	2972	1693
637	2977	1689
638	2984	1685
639	2991	1682
640	2998	1679
641	3008	1677
642	3014	1673
643	3019	1669
644	3023	1664
645	3030	1660
646	3035	1655
647	3041	1652
648	3047	1648
649	3053	1644
650	3058	1639
651	3062	1634
652	3066	1629
653	3070	1624
654	3074	1619
655	3078	1614
656	3083	1609
657	3092	1607
658	3098	1603
659	3102	1598
660	3106	1593
661	3111	1588
662	3116	1584
663	3120	1579
664	3124	1573
665	3128	1568
666	3133	1564
667	3138	1560
668	3142	1555
669	3147	1550
670	3151	1545
671	3156	1540
672	3162	1536
673	3167	1532
674	3172	1527
675	3176	1522
676	3180	1517
677	3183	1512
678	3187	1507
679	3191	1502
680	3196	1497
681	3199	1491
682	3203	1486
683	3207	1482
684	3212	1477
685	3216	1472
686	3219	1466
687	3223	1461
688	3227	1456
689	3231	1451
690	3235	1446
691	3238	1441
692	3243	1436
693	3248	1432
694	3254	1428
695	3259	1423
696	3264	1419
697	3269	1414
698	3273	1409
699	3277	1404
700	3283	1400
701	3289	1396
702	3293	1391
703	3301	1388
704	3307	1384
705	3311	1379
706	3317	1374
707	3320	1369
708	3324	1364
709	3328	1359
710	3332	1354
711	3336	1349
712	3341	1345
713	3347	1341
714	3351	1335
715	3355	1330
716	3359	1325
717	3364	1321
718	3369	1316
719	3373	1312
720	3378	1307
721	3382	1302
722	3386	1297
723	3390	1292
724	3393	1287
